,LINKID,FROMMEASURE,TOMEASURE,CODE_LANE
0,1001,0.0,0.1,"[""['L1', 'R1']""]"
1,1001,0.1,0.2,"[""['L1', 'R1']""]"
2,1001,0.2,0.3,"[""['L1', 'R1']""]"
3,1001,0.3,0.4,"[""['L1', 'R1']""]"
4,1001,0.4,0.5,"[""['L1', 'R1']""]"
5,1001,0.5,0.6,"[""['L1', 'R1']""]"
6,1001,0.6,0.7,"[""['L1', 'R1']""]"
7,1001,0.7,0.8,"[""['L1', 'R1']""]"
8,1001,0.8,0.9,"[""['L1', 'R1']""]"
9,1001,0.9,1.0,"[""['L1', 'R1']""]"
10,1001,1.0,1.1,"[""['L1', 'L2', 'R1', 'R2' ]""]"
11,1001,1.1,1.2,"[""['L1', 'L2', 'R1', 'R2' ]""]"
12,1001,1.2,1.3,"[""['L1', 'L2', 'R1', 'R2' ]""]"
13,1001,1.3,1.4,"[""['L1', 'L2', 'R1', 'R2' ]""]"
14,1001,1.4,1.5,"[""['L1', 'L2', 'R1', 'R2' ]""]"
15,1001,1.5,1.6,"[""['L1', 'L2', 'R1', 'R2' ]""]"
16,1001,1.6,1.7,"[""['L1', 'L2', 'R1', 'R2' ]""]"
17,1001,1.7,1.8,"[""['L1', 'L2', 'R1', 'R2' ]""]"
18,1001,1.8,1.9,"[""['L1', 'L2', 'R1', 'R2' ]""]"
19,1001,1.9,2.0,"[""['L1', 'L2', 'R1', 'R2' ]""]"
20,1001,2.0,2.1,"[""['L1', 'L2', 'R1', 'R2' ]""]"
21,1001,2.1,2.2,"[""['L1', 'L2', 'R1', 'R2' ]""]"
